Uuid,Void/Retire,Name,Description,Parent,Attribute|id_prefix,Tags,Address 1,Address 2,Address 3,Address 4,Address 5,Address 6,City/Village,County/District,State/Province,Postal Code,Country
72636eba-29bf-4d6c-97c4-4b04d87a95b5,,Bahmni Hospital,,,,Facility; Visit Location,,,,,,,,,,,
1973e910-160e-42ef-9daf-3f020f62c4cf,,Registration Desk,,Bahmni Hospital,,Login Location,,,,,,,,,,,
5e232c47-8ff5-4c5c-8057-7e39a64fefa5,,OPD-1,,Bahmni Hospital,,Login Location; Appointment Location,,,,,,,,,,,
62b55a63-f3a0-4f7c-9ea6-a85f2e7cd09a,,OPD-2,,Bahmni Hospital,,Login Location; Appointment Location,,,,,,,,,,,
b5da9afd-b29a-4cbf-91c9-ccf2aa5f799e,,Emergency,,Bahmni Hospital,,Login Location; Admission Location,,,,,,,,,,,
9212680d-bb7c-412a-bd07-d24358f5a4ad,,Emergency Ward,,Emergency,,Admission Location,,,,,,,,,,,
8e6ad830-21be-488b-87af-5e480334342c,,General Ward,,Bahmni Hospital,,Login Location; Admission Location,,,,,,,,,,,
046a84ac-cd6a-4725-b712-24cb115d1c55,,General Ward Room-1,,General Ward,,Admission Location,,,,,,,,,,,
6f9ad5d9-bcfe-45fb-82b1-c48bf6ae051f,,General Ward Room-2,,General Ward,,Admission Location,,,,,,,,,,,
60864f46-e903-44b2-a59a-dd25d41eafbd,,Pediatric Ward,,Bahmni Hospital,,Login Location; Admission Location,,,,,,,,,,,
df352801-7c6c-4dd5-bbef-0c01a216d453,,Pediatric Ward Room-1,,Pediatric Ward,,Admission Location,,,,,,,,,,,
44cc2e40-ddce-415b-b5fc-2d99372ab117,,General OT,,Bahmni Hospital,,Operation Theater,,,,,,,,,,,
9a1e5cd6-8e2e-41c6-a923-044cc55d7613,,Orthopaedic OT,,Bahmni Hospital,,Operation Theater,,,,,,,,,,,
e2f02a20-0223-425d-9740-335bc44076b9,,Counselling,,Bahmni Hospital,,Login Location; Visit Location,,,,,,,,,,,
e694a5c9-b803-44f2-a0c3-eaf3f9979bfa,,Operating Room (OR),,Bahmni Hospital,,Login Location; Operation Theatre; VisitLocation,,,,,,,,,,,
b4c6c73a-260f-4203-b0c6-e1211e0cad23,,Minor Procedure Room,,Bahmni Hospital,,Login Location; Visit Location,,,,,,,,,,,
1886d79a-21f2-453a-8f41-9a975070dcde,,Inpatient,,Bahmni Hospital,,Login Location; Visit Location,,,,,,,,,,,
9b09b684-9dab-45f0-9535-c79fd66550be,,Liaison Office,,Bahmni Hospital,,Login Location; Visit Location,,,,,,,,,,,
